label,text
0,They said ü dun haf passport or smth like dat.. Or ü juz send to my email account..
0,"Multiply the numbers independently and count decimal points then, for the division, push the decimal places like i showed you."
0,"Have a lovely night and when you wake up to see this message, i hope you smile knowing all is as should be. Have a great morning"
0,Ard 4 lor...
0,You are right. Meanwhile how's project twins comin up
0,I sent your maga that money yesterday oh.
0,Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams
0,Our ride equally uneventful - not too many of those pesky cyclists around at that time of night ;).
0,If you were/are free i can give. Otherwise nalla adi entey nattil kittum
0,I've sent my wife your text. After we buy them she'll tell you what to do. So just relax. We should go get them this wkend.
0,I am in escape theatre now. . Going to watch KAVALAN in a few minutes
0,How much would it cost to hire a hitman
0,I anything lor...
0,"Sorry, I'll call later"
0,Huh but i cant go 2 ur house empty handed right?
0,Good morning princess! Happy New Year!
0,"Aight, we'll head out in a few"
0,Then wat r u doing now? Busy wif work?
0,I know you mood off today
0,"Jay told me already, will do"
0,Cps is causing the outages to conserve energy.
0,"I'm not sure, I was just checking out what was happening around the area"
0,Hey morning what you come to ask:-) pa...
0,Jordan got voted out last nite!
0,"That means you got an A in epi, she.s fine. She.s here now."
0,I have no idea where you are
0,Pls come quick cant bare this.
0,Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  &lt;#&gt;  IQ. Tis s IAS question try to answer.
0,"Call me. I m unable to cal. Lets meet bhaskar, and deep"
0,No. I.ll meet you in the library
0,"K, my roommate also wants a dubsack and another friend may also want some so plan on bringing extra, I'll tell you when they know for sure"
0,Depends on individual lor e hair dresser say pretty but my parents say look gong. U kaypoh.. I also dunno wat she collecting.
0,Ok c ü then.
0,I enjoy watching and playing football and basketball. Anything outdoors. And you?
0,"Can you please ask macho what his price range is, does he want something new or used plus it he only interfued in the blackberry bold  &lt;#&gt;  or any bb"
0,Sorry sent blank msg again. Yup but trying 2 do some serious studying now.
0,Hey check it da. I have listed da.
0,I meant as an apology from me for texting you to get me drugs at  &lt;#&gt; at night
0,That means from february to april i'll be getting a place to stay down there so i don't have to hustle back and forth during audition season as i have since my sister moved away from harlem.
0,Goin to workout lor... Muz lose e fats...
0,"Damn, poor zac doesn't stand a chance"
0,No message..no responce..what happend?
0,I want to tel u one thing u should not mistake me k THIS IS THE MESSAGE THAT YOU SENT:)
0,Yeah right! I'll bring my tape measure fri!
0,Still chance there. If you search hard you will get it..let have a try :)
0,Meeting u is my work. . . Tel me when shall i do my work tomorrow
0,Should I head straight there or what
0,Thank you princess! You are so sexy...
0,Oooh I got plenty of those!
0,Hui xin is in da lib.
0,Its a big difference.  &lt;#&gt;  versus  &lt;#&gt;  every  &lt;#&gt; hrs
0,"It's not that you make me cry. It's just that when all our stuff happens on top of everything else, it pushes me over the edge. You don't underdtand how often i cry over my sorry, sorry life."
0,ME 2 BABE I FEEL THE SAME LETS JUST 4GET ABOUT IT+BOTH TRY +CHEER UP+NOT FIT SOO MUCHXXLOVE U LOCAXX
0,You know what hook up means right?
0,Wat's da model num of ur phone?
0,He's really into skateboarding now despite the fact that he gets thrown off of it and winds up with bandages and shit all over his arms every five minutes
0,My house here e sky quite dark liao... If raining then got excuse not 2 run already rite... Hee...
0,"Sorry, left phone upstairs. OK, might be hectic but would be all my birds with one fell swoop. It's a date."
0,* Thought I didn't see you.
0,Carlos says we can pick up from him later so yeah we're set
0,"Hey babe, my friend had to cancel, still up for a visit ?"
0,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
0,Hmm ill have to think about it... ok you're forgiven! =D
0,"We are hoping to get away by 7, from Langport. You still up for town tonight?"
0,Want to send me a virtual hug?... I need one
0,"Probably not, still going over some stuff here"
0,It has issues right now. Ill fix for her by tomorrow.
0,Why i come in between you people
0,Senthil group company Apnt 5pm.
0,Oh really?? Did you make it on air? What's your talent?
0,Studying. But i.ll be free next weekend.
0,R u here yet? I'm wearing blue shirt n black pants.
0,Wait.i will come out.. &lt;#&gt;  min:)
0,I will reach ur home in  &lt;#&gt;  minutes
0,Well then you have a great weekend!
0,"What are you doing in langport? Sorry, but I'll probably be in bed by 9pm. It sucks being ill at xmas! When do you and go2sri lanka?"
0,"Frnd s not juz a word.....not merely a relationship.....its a silent promise which says ... "" I will be with YOU "" Wherevr.. Whenevr.. Forevr... Gudnyt dear.."
0,Huh? 6 also cannot? Then only how many mistakes?
0,Ha... U jus ate honey ar? So sweet...
0,I'm turning off my phone. My moms telling everyone I have cancer. And my sister won't stop calling. It hurts to talk. Can't put up with it. See u when u get home. Love u
0,"Honey ? Sweetheart ? Darling ? Sexy buns ? Sugar plum ? Loverboy ? I miss you, boytoy ... *smacks your ass* Did you go to the gym too ?"
0,Thanks for loving me so. You rock
0,Yeah imma come over cause jay wants to do some drugs
0,Ok thanx... Take care then...
0,Yup. Thk of u oso boring wat.
0,"came to look at the flat, seems ok, in his 50s? * Is away alot wiv work. Got woman coming at 6.30 too."
0,Moji just informed me that you saved our lives. Thanks.
0,Whos this am in class:-)
0,Hey r ü still online? I've finished the formatting...
0,Great! So what attracts you to the brothas?
0,Stupid.its not possible
0,I cant pick the phone right now. Pls send a message
0,LOL what happens in Vegas stays in vegas
0,"Hello, hello, hi lou sorry it took so long 2 reply- I left mobile at friends in Lancaster, just got it bak Neway im sorry I couldnt make ur bday 2 hun!"
0,When did i use soc... I use it only at home... Ü dunno how 2 type it in word ar...
0,Dad says hurry the hell up
0,Wake me up at  &lt;#&gt;  am morning:)
0,"I get out of class in bsn in like  &lt;#&gt;  minutes, you know where advising is?"
0,Great! I shoot big loads so get ready!
0,I'll meet you in the lobby
0,You still coming tonight?
0,What happen dear tell me
0,"Sir, i am waiting for your call, once free please call me."
0,No i am not having not any movies in my laptop
0,I was about to do it when i texted. I finished a long time ago and showered and er'ything!
0,Ok im not sure what time i finish tomorrow but i wanna spend the evening with you cos that would be vewy vewy lubly! Love me xxx
0,"Hello, As per request from  &lt;#&gt;  Rs.5 has been transfered to you"
0,I am in tirupur.  call you da.
0,S:)but he had some luck.2 catches put down:)
0,How i noe... Did ü specify da domain as nusstu... Ü still in sch...
0,Oh...i asked for fun. Haha...take care. ü
0,Shall i get my pouch?
0,Hey loverboy! I love you !! I had to tell ... I look at your picture and ache to feel you between my legs ... Fuck I want you ... I need you ... I crave you .
0,"How is my boy? No sweet words left for me this morning ... *sighs* ... How goes you day, my love ? Did you start your studying?"
0,Kent vale lor... Ü wait 4 me there ar?
0,Ok. Very good. Its all about making that money.
0,Reading gud habit.. Nan bari hudgi yorge pataistha ertini kano:-)
0,Aight do you still want to get money
0,Ok.ok ok..then..whats ur todays plan
0,ARE YOU IN TOWN? THIS IS V. IMPORTANT
0,"Sorry pa, i dont knw who ru pa?"
0,Wat u doing there?
0,If i not meeting ü all rite then i'll go home lor. If ü dun feel like comin it's ok.
0,"Oh, i will get paid. The most outstanding one is for a commercial i did for Hasbro...in AUGUST! They made us jump through so many hoops to get paid. Still not."
0,"I am late,so call you tomorrow morning.take care sweet dreams....u and me...ummifying...bye."
0,Networking technical support associate.
0,I'm gonna rip out my uterus.
0,Cool. Do you like swimming? I have a pool and jacuzzi at my house.
0,"Yeah why not, is the gang all ready"
0,Blank is Blank. But wat is blank? Lol
0,I'm in a movie... Collect car oredi...
0,We left already we at orchard now.
0,Nothing spl..wat abt u and whr ru?
0,No chikku nt yet.. Ya i'm free
0,"Aldrine, rakhesh ex RTM here.pls call.urgent."
0,The search 4 happiness is 1 of d main sources of unhappiness! Accept life the way it comes! U will find happiness in every moment u live.
0,I'm at home. Please call
0,"I guess you could be as good an excuse as any, lol."
0,"Isn't frnd a necesity in life? imagine urself witout a frnd.. hw'd u feel at ur colleg? wat'll u do wth ur cell? wat abt functions? thnk abt events espe'll cared, missed &amp; irritated u? 4wrd it to all those dear-loving frnds wthout whom u cant live.. I jst did it.. Takecare..:) GOODMORNING"
0,Gud mrng dear hav a nice day
0,Old Orchard near univ. How about you?
0,"4 tacos + 1 rajas burrito, right?"
0,"It‘s £6 to get in, is that ok?"
0,Hows the street where the end of library walk is?
0,"Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN."
0,We stopped to get ice cream and will go back after
0,Did you stitch his trouser
0,No da. . Vijay going to talk in jaya tv
0,Hey i'm bored... So i'm thinking of u... So wat r u doing?
0,"Nah, Wednesday. When should I bring the mini cheetos bag over?"
0,Nobody names their penis a girls name this story doesn't add up at all
0,"Aight, let me know when you're gonna be around usf"
0,I'm not. She lip synced with shangela.
0,Ü neva tell me how i noe... I'm not at home in da aft wat...
0,"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND"
0,"Buzz! Hey, my Love ! I think of you and hope your day goes well. Did you sleep in ? I miss you babe. I long for the moment we are together again*loving smile*"
0,"Haha... Sounds crazy, dunno can tahan anot..."
0,Why are u up so early?
0,Ya that one is slow as poo
0,Im on gloucesterroad what are uup to later?
0,Yes:)here tv is always available in work place..
0,Lol no ouch but wish i'd stayed out a bit longer
0,"GOD ASKED, ""What is forgiveness?"" A little child gave lovely reply, ""It is d wonderful fruit that a tree gives when it is being hurt by a stone.. Good night......"
0,We'll join the  &lt;#&gt;  bus
0,Was just about to ask. Will keep this one. Maybe that's why you didn't get all the messages we sent you on glo
0,K.i will send in  &lt;#&gt;  min:)
0,Would me smoking you out help us work through this difficult time
0,Yes.mum lookin strong:)
0,"Sir Goodmorning, Once free call me."
0,Where are you call me.
0,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
0,Love it! The girls at the office may wonder why you are smiling but sore...
0,"Hi, wlcome back, did wonder if you got eaten by a lion or something, nothing much"
0,Does uncle timi help in clearing cars
0,I came hostel. I m going to sleep. Plz call me up before class. Hrishi.
0,Ok... But bag again..
0,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
0,Ok lor. Msg me b4 u call.
0,"Once a fishrman woke early in d mrng. It was very dark. He waited a while &amp; found a sack ful of stones. He strtd throwin thm in2 d sea 2 pass time. Atlast he had jus 1stone, sun rose up &amp; he found out tht those r nt stones, those were diamonds. Moral:""Dont wake up early in d mrng'' GOOD night"
0,Then ur physics get a-?
0,"Dear friends, sorry for the late information. Today is the birthday of our loving Ar.Praveesh. for more details log on to face book and see. Its his number + &lt;#&gt; . Dont miss a delicious treat."
0,How r ü going to send it to me?
0,Can you do online transaction?
0,Dear got train and seat mine lower seat
0,Let me know if you need anything else. Salad or desert or something... How many beers shall i get?
0,Wat r u doing?
0,WHORE YOU ARE UNBELIEVABLE.
0,"Are you sure you don't mean ""get here, we made you hold all the weed"""
0,"I love you !!! You know? Can you feel it? Does it make your belly warm? I wish it does, my love ... I shall meet you in your dreams, Ahmad ... *adoring kiss*"
0,Love it! I want to flood that pretty pussy with cum...
0,Hey are you angry with me. Reply me dr.
0,"Short But Cute: ""Be a good person, but dont try to prove it.."" .Gud noon...."
0,Also remember the beads don't come off. Ever.
0,They have a thread on the wishlist section of the forums where ppl post nitro requests. Start from the last page and collect from the bottom up.
0,For The First Time In The History 'Need' 'Comfort' And 'Luxury' Are Sold At Same Price In India..!! Onion-Rs. &lt;#&gt;  Petrol-Rs. &lt;#&gt;  Beer-Rs. &lt;#&gt;  SHESIL  &lt;#&gt;
0,"Feb  &lt;#&gt;  is ""I LOVE U"" day. Send dis to all ur ""VALUED FRNDS"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr"
0,"Actually nvm, got hella cash, we still on for  &lt;#&gt; ish?"
0,"It's ok, at least armand's still around"
0,No da. I am happy that we sit together na
0,Yup song bro. No creative. Neva test quality. He said check review online.
0,"No dude, its not fake..my frnds got money, thts y i'm reffering u..if u member wit my mail link, u vl be credited  &lt;#&gt; rs and il be getiing  &lt;#&gt; rs..i can draw my acc wen it is  &lt;#&gt; rs.."
0,Dude while were makin those weirdy brownies my sister made awesome cookies. I took pics.
0,Pls dont restrict her from eating anythin she likes for the next two days.
0,Mm you ask him to come its enough :-)
0,At the funeral home with Audrey and dad
0,"Aight, can you text me the address?"
0,Excellent! Wish we were together right now!
0,Yep then is fine 7.30 or 8.30 for ice age.
0,Pls i wont belive god.not only jesus.
0,Can. Dunno wat to get 4 her...
0,"Not yet chikku..k, then wat abt tht guy did he stopped irritating or msging to u.."
0,How long does it take to get it.
0,This is my number by vivek..
0,"sorry brah, just finished the last of my exams, what up"
0,"I got arrested for possession at, I shit you not,  &lt;TIME&gt;  pm"
0,You are right though. I can't give you the space you want and need. This is really starting to become an issue. I was going to suggest setting a definite move out--if i'm still there-- after greece. But maybe you are ready and should do it now.
0,Just normal only here :)
0,"Please protect yourself from e-threats. SIB never asks for sensitive information like Passwords,ATM/SMS PIN thru email. Never share your password with anybody."
0,I miss you so much I'm so desparate I have recorded the message you left for me the other day and listen to it just to hear the sound of your voice. I love you
0,Hi. I'm always online on yahoo and would like to chat with you someday
0,"Goodmorning,my grandfather expired..so am on leave today."
0,Where are you ? What are you doing ? Are yuou working on getting the pc to your mom's ? Did you find a spot that it would work ? I need you
0,"Sure, I'll see if I can come by in a bit"
0,I agree. So i can stop thinkin about ipad. Can you please ask macho the same question.
0,Let's pool our money together and buy a bunch of lotto tickets. If we win I get &lt;#&gt; % u get &lt;#&gt; %. Deal?
0,Ok.
